"cover","elev","tci","streamdist","disturb","beers"
0,1279,4.63039398,10,"LT-SEL",1.55018473
0,1331,4.29201508,347.1,"CORPLOG",1.56804955
0,869.1,6.01650381,400.5,"CORPLOG",1.33280563
0,746.2,3.34025192,141.4,"CORPLOG",0.56759202
0,1341,6.82645702,230.9,"CORPLOG",0.61220247
0,1327,4.67902899,148.7,"CORPLOG",1.77732527
0,1401,3.72033095,261.7,"CORPLOG",0.87426198
0,1015,7.2793231,10,"CORPLOG",1.74708641
0,1218,6.22200108,322,"CORPLOG",0.85756344
0,1213,4.18668318,335.4,"CORPLOG",1.99994481
0,866.8,4.58699608,223.6,"CORPLOG",1.96057272
0,870.8,11.76,36.06,"CORPLOG",1.95062649
0,1229,4.56738806,518.7,"CORPLOG",1.99998355
0,805.8,5.8314662,350,"LT-SEL",1.72286224
0,805.8,5.8314662,350,"LT-SEL",1.72286224
0,892.9,5.68822098,30,"LT-SEL",1.16020334
0,855.4,6.82961988,164.9,"LT-SEL",0.41322583
0,767.1,5.01883984,330.2,"LT-SEL",0.62745482
0,720.3,4.08203411,98.99,"LT-SEL",1.32238007
0,725.9,6.59966707,136,"CORPLOG",0.00787043
5,1570,11.85,0,"LT-SEL",0.4961189
0,859.1,4.89706898,130,"CORPLOG",0.28759128
0,932.6,4.16547394,334.2,"LT-SEL",0.31273425
0,670.9,4.81561184,63.25,"SETTLE",0.25890195
0,741,4.35483885,327.6,"LT-SEL",0.09755319
0,1037,8.91433907,84.85,"LT-SEL",0.55043918
0,665.5,4.77475882,194.2,"SETTLE",1.9732815
0,728,3.507025,98.49,"SETTLE",1.44477355
0,885.7,6.54796314,50,"CORPLOG",1.57556069
0,639.7,4.60362005,219.3,"CORPLOG",0.43321049
0,607.9,4.88558483,176.9,"CORPLOG",0.69500518
0,884,13.27,10,"CORPLOG",0.01004305
0,670.6,25,92.2,"SETTLE",1.49149537
0,947.2,5.95981312,131.5,"VIRGIN",0.25928655
0,1445,3.88341689,563.6,"VIRGIN",0.05264604
0,494.2,12.26,0,"LT-SEL",1.49660313
0,645.2,8.72260094,85.44,"SETTLE",0.94426298
0,534.9,4.13403893,40,"CORPLOG",1.1983012
0,677,4.49968719,287.9,"LT-SEL",1.98295093
0,859,5.11756897,102,"LT-SEL",0.11043619
0,869,3.96050692,100,"CORPLOG",0.4183189
0,1032,4.85315895,183.8,"CORPLOG",1.97692657
0,867.5,5.06390095,58.31,"CORPLOG",1.21891582
0,1340,6.41765499,490.1,"CORPLOG",0.90383738
0,717.7,6.16744995,107.7,"CORPLOG",0.07341928
0,732.3,4.30205011,22.36,"LT-SEL",1.48643851
0,1190,4.8611598,103,"VIRGIN",1.08014762
0,1161,5.02695179,130,"VIRGIN",1.43409467
0,1183,4.84606981,60,"VIRGIN",0.94372642
0,1313,5.34805107,169.7,"VIRGIN",1.18142962
0,1217,6.42335892,30,"CORPLOG",1.33937502
0,1047,5.12619495,452.2,"VIRGIN",1.99847972
0,1292,5.22598886,152.3,"VIRGIN",1.25728369
0,939.6,3.72890592,92.2,"SETTLE",1.33808827
0,1328,3.49296904,534.5,"LT-SEL",1.73625684
0,830.2,4.43833685,20,"SETTLE",1.44655585
0,1192,7.23307896,10,"VIRGIN",0.04236537
0,970.7,6.1395359,50.99,"VIRGIN",1.89808238
0,919.5,6.20673513,50,"SETTLE",1.07908046
0,908.9,6.57194281,94.34,"LT-SEL",1.9892292
0,1054,5.7054162,165.5,"LT-SEL",1.80152321
0,920.4,4.13903999,142.1,"SETTLE",1.14454198
0,1145,5.12563515,152.3,"VIRGIN",0.26586017
0,1234,5.29963684,281.6,"VIRGIN",0.99495459
0,917.7,4.81174707,136,"VIRGIN",1.04708278
