"","cover","elev","tci","streamdist","disturb","beers"
"231",4,661.4,4.68295383,127.3,"LT-SEL",1.97888565
"232",5,610.7,4.52831793,277.3,"LT-SEL",0.00162463
"233",4,637.3,4.85419703,300.8,"LT-SEL",0.02940879
"234",6,614.4,5.13394117,186,"LT-SEL",1.19817114
"235",6,584.3,6.47289991,85.44,"LT-SEL",1.77505493
"236",4,574.8,4.37171078,0,"LT-SEL",1.66967678
"237",6,607.8,5.16231585,28.28,"LT-SEL",0.57169908
"238",6,592.6,5.35637188,31.62,"LT-SEL",0.31793281
"239",6,565.1,5.09103489,50,"LT-SEL",0.76325756
"240",4,481.8,4.45236206,14.14,"LT-SEL",1.9872098
"241",6,603,6.0051198,36.06,"LT-SEL",0.41018903
"242",6,614.6,5.21767616,382.1,"LT-SEL",1.82649243
"243",6,669.3,9.71498203,378.5,"LT-SEL",1.50664282
"244",6,691.1,5.42046499,317.6,"LT-SEL",1.38211691
"245",6,611.7,10.24,197.2,"LT-SEL",0.00886668
"246",6,690.8,4.80152607,230,"LT-SEL",0.52077001
"247",6,650.8,3.88353205,386.4,"LT-SEL",1.94824541
"248",5,663.5,4.75779009,383.3,"LT-SEL",1.99991763
"249",6,673.2,5.40900183,520.1,"LT-SEL",1.75601733
"250",6,680.2,4.7884531,460,"LT-SEL",0.00010672
"251",6,676.8,3.841851,237.1,"LT-SEL",1.47897458
"252",6,760.6,5.57019711,255,"LT-SEL",0.94494045
"253",7,750.6,7.00905085,301.5,"LT-SEL",0.12922165
"254",6,659.7,7.15281677,10,"LT-SEL",1.83896255
"255",6,751.5,5.0061202,219.3,"LT-SEL",1.67205107
"256",5,752.9,4.58780289,205.2,"LT-SEL",0.03474157
"257",6,731.2,4.71225786,169.7,"LT-SEL",0.04445076
"258",4,514.3,3.77509809,150,"LT-SEL",1.48247421
"259",6,446.6,4.69749117,50,"LT-SEL",1.50944912
"260",5,518.3,4.35624313,220,"LT-SEL",0.6318047
