"Genetic ID (suffixes: "".DG"" is a high coverage shotgun genome with diploid genotype calls, "".AG"" is shotgun data with each position in the genome represented by a randomly chosen sequence, "".HO"" is Affymetrix Human Origins genotype data)",Master ID,Skeletal code,Skeletal element,"Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]",Publication abbreviation,doi for publication of this representation of the data,Link to the most permanent repository hosting these data,"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r5; Atmospheric data from Reimer et al (2020)","Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]","Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform distribution between the two bounds for a contextual date]","Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE","Age at death, Morphological sex from physical anthropology",Group ID,Locality,Political Entity,Lat.,Long.,Pulldown Strategy,Suffices (indicating data types used for sources which can be a subset of that in bam),Data type,No. Libraries,SNPs hit on autosomal targets (Computed using easystats on 1240k snpset),SNPs hit on autosomal targets (Computed using easystats on HO snpset),Molecular Sex,Sum total of ROH segments >4 cM,Sum total of ROH segments >20cM,Y haplogroup in terminal mutation notation automatically called based on Yfull with the software described in Lazaridis et al. Science 2022,Y haplogroup  in ISOGG v15.73 notation automatically called based on Yfull with the software described in Lazaridis et al. Science 2022,Y haplogroup manually called if different from automatic,mtDNA coverage (merged data),mtDNA haplogroup if >2x or published,mtDNA match to consensus if >2x (merged data),Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data),Sex ratio [Y/(Y+X) counts] (merged data),ANGSD MOM 95% CI truncated at 0 (only if male and >=200 SNPs),hapConX 95% CI truncated at 0 (only if male and >=2000 SNPs covered on X chromosome),"Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)",Libraries,endogenous by library (computed on shotgun data),ASSESSMENT,ASSESSMENT WARNING
gene_id,master_id,skel_code,skel_elem,year_pub,pub_abbr,doi,link,date_metho,date_BP,date_err,date_full,age_at_death,group,locality,pol_ent,lat,long,Pulldown Strategy,suffices,data_type,no_lib,snps_1240k,snps_ho,mol_sex,ROH_tot,ROH_tot2,Y_hap,Y_hap2,Y-hap3,mtDNA_cov,mtDNA_hap,mtDNA_match,damage,sex_ratio,angsd,hapconx,lib_type,libs,endo,assess,assess_warn
STR266b.SG,STR266b,STR_266,petrous,2018,VeeramahPNAS2018,doi:10.1073/pnas.1719880115,ENA:PRJEB23079,Context: Dates on grave finds,1430,6,510-530 CE,..,Germany_EarlyMedieval.SG,"Straubing (Bayern, Niederbayern, Straubing-Kreisfreie Stadt)",Germany,48.89,12.57,Native Pulldown on 3.2M snpset,SG,Shotgun,..,59650,31191,F,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),..,..,J1c5,..,..,..,n/a (female),n/a (female),ds.minus,"LM6_11S,mt;LBC12_10mt;LBC15_9mt;LBC12_11;LBC12_12mt",..,PASS,..
STR300b.SG,STR300b,STR_300,petrous,2018,VeeramahPNAS2018,doi:10.1073/pnas.1719880115,ENA:PRJEB23079,Context: Dates on grave finds,1430,6,510-530 CE,..,Germany_EarlyMedieval_o1.SG,"Straubing (Bayern, Niederbayern, Straubing-Kreisfreie Stadt)",Germany,48.89,12.57,Native Pulldown on 3.2M snpset,SG,Shotgun,..,388061,201844,F,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),..,..,J1c10 ,..,..,..,n/a (female),n/a (female),ds.minus,"LM6_6S,mt;LBC14_10;LBC14_11mt;LBC14_12mt;LBC16_14USER;LBC16_15USER,mt",..,PASS,..
STR310.SG,STR310,STR_310,petrous,2018,VeeramahPNAS2018,doi:10.1073/pnas.1719880115,ENA:PRJEB23079,Context: Dates on grave finds,1430,6,510-530 CE,..,Germany_EarlyMedieval_o1.SG,"Straubing (Bayern, Niederbayern, Straubing-Kreisfreie Stadt)",Germany,48.89,12.57,Native Pulldown on 3.2M snpset,SG,Shotgun,..,617139,313779,F,0,0,n/a (female),n/a (female),..,..,H7 ,..,..,..,n/a (female),n/a (female),ds.minus,"LM7_9S,mt;LBC12_13mt;LBC12_14;LBC12_15mt;LBC15_12;LBC15_14mt;LBC15_13",..,PASS,..
STR316b.SG,STR316b,STR_316,petrous,2018,VeeramahPNAS2018,doi:10.1073/pnas.1719880115,ENA:PRJEB23079,Context: Dates on grave finds,1455,9,480-510 CE,..,Germany_EarlyMedieval.SG,"Straubing (Bayern, Niederbayern, Straubing-Kreisfreie Stadt)",Germany,48.89,12.57,Native Pulldown on 3.2M snpset,SG,Shotgun,5,192811,99501,M,n/a (<300K SNPs),n/a (<300K SNPs),R-ZP137,R1b1a1b1a1a,..,..,H3 ,..,..,..,..,"[0,0.007]",ds.minus,LM8_10S;LBC14_7mt;LBC14_8mt;LBC14_9mt;LBC17_14mt,..,PASS,..
STR328c.SG,STR328c,STR_328,petrous,2018,VeeramahPNAS2018,doi:10.1073/pnas.1719880115,ENA:PRJEB23079,Direct (WARNING MISSING LAB CODE): IntCal20,1497,43,402-536 calCE (1635±19 BP),..,Germany_EarlyMedieval_o2.SG,"Straubing (Bayern, Niederbayern, Straubing-Kreisfreie Stadt)",Germany,48.89,12.57,Native Pulldown on 3.2M snpset,SG,Shotgun,..,257588,130906,F,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),..,..,U5a1h ,..,..,..,n/a (female),n/a (female),ds.minus,"LM8_3S,mt;LBC13_7mt;LBC13_8mt;LBC13_9mt;LBC17_16",..,PASS,..
STR355c.SG,STR355c,STR_355,petrous,2018,VeeramahPNAS2018,doi:10.1073/pnas.1719880115,ENA:PRJEB23079,Context: Dates on grave finds,1430,6,510-530 CE,..,Germany_EarlyMedieval.SG,"Straubing (Bayern, Niederbayern, Straubing-Kreisfreie Stadt)",Germany,48.89,12.57,Native Pulldown on 3.2M snpset,SG,Shotgun,..,548465,279471,F,0,0,n/a (female),n/a (female),..,..,T2b ,..,..,..,n/a (female),n/a (female),ds.minus,"LM5_8S;LM8_11S,mt;LBC13_1mt;LBC13_2mt;LBC13_3mt",..,PASS,..
STR360c.SG,STR360c,STR_360,petrous,2018,VeeramahPNAS2018,doi:10.1073/pnas.1719880115,ENA:PRJEB23079,Context: Dates on grave finds,1430,6,510-530 CE,..,Germany_EarlyMedieval_o4.SG,"Straubing (Bayern, Niederbayern, Straubing-Kreisfreie Stadt)",Germany,48.89,12.57,Native Pulldown on 3.2M snpset,SG,Shotgun,..,66217,34128,F,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),..,..,H5 ,..,..,..,n/a (female),n/a (female),ds.minus,"LM8_4S,mt;LBC13_13mt;LBC13_14mt;LBC13_15mt",..,PASS,..
STR393b.SG,STR393b,STR_393,petrous,2018,VeeramahPNAS2018,doi:10.1073/pnas.1719880115,ENA:PRJEB23079,Context: Dates on grave finds,1455,20,460-530 CE,..,Germany_EarlyMedieval.SG,"Straubing (Bayern, Niederbayern, Straubing-Kreisfreie Stadt)",Germany,48.89,12.57,Native Pulldown on 3.2M snpset,SG,Shotgun,..,100324,51241,M,n/a (<300K SNPs),n/a (<300K SNPs),R-ZP87,R1b1a1b1a1a,..,..,H5a1 ,..,..,..,..,"[0,0.032]",ds.minus,"LM5_4S,mt;LM8_12;LM8_13mt;LBC15_1;LBC15_2mt;LBC17_7mt",..,PASS,..
STR480.SG,STR480,STR_480,petrous,2018,VeeramahPNAS2018,doi:10.1073/pnas.1719880115,ENA:PRJEB23079,Context: Dates on grave finds,1430,6,510-530 CE,..,Germany_EarlyMedieval.SG,"Straubing (Bayern, Niederbayern, Straubing-Kreisfreie Stadt)",Germany,48.89,12.57,Native Pulldown on 3.2M snpset,SG,Shotgun,..,185937,94606,F,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),..,..,J1c2o ,..,..,..,n/a (female),n/a (female),ds.minus,"LM8_8S,mt;LBC11_9;LBC11_10mt;LBC11_11mt;LBC17_11mt",..,PASS,..
STR486.SG,STR486,STR_486,petrous,2018,VeeramahPNAS2018,doi:10.1073/pnas.1719880115,ENA:PRJEB23079,Context: Dates on grave finds,1455,20,460-530 CE,..,Germany_EarlyMedieval.SG,"Straubing (Bayern, Niederbayern, Straubing-Kreisfreie Stadt)",Germany,48.89,12.57,Native Pulldown on 3.2M snpset,SG,Shotgun,..,334096,171662,M,n/a (<300K SNPs),n/a (<300K SNPs),I-DF29,I1,..,..,T2b ,..,..,..,..,"[0,0.011]",ds.minus,"LM5_3S,mt;LBC9_13mt;LBC9_14mt;LBC9_15mt",..,PASS,..
STR491.SG,STR491,STR_491,petrous,2018,VeeramahPNAS2018,doi:10.1073/pnas.1719880115,ENA:PRJEB23079,Context: Dates on grave finds,1430,6,510-530 CE,..,Germany_EarlyMedieval_1d.rel.STR355c.SG,"Straubing (Bayern, Niederbayern, Straubing-Kreisfreie Stadt)",Germany,48.89,12.57,Native Pulldown on 3.2M snpset,SG,Shotgun,..,42314,22022,M,n/a (<300K SNPs),n/a (<300K SNPs),I-Y3104,I2a1a2,..,..,T2b ,..,..,..,..,n/a (<2000 X SNPs),ds.minus,"LM8_6S,mt;LBC12_1mt;LBC12_2mt;LBC12_3mt",..,PASS,..
STR502b.SG,STR502b,STR_502,petrous,2018,VeeramahPNAS2018,doi:10.1073/pnas.1719880115,ENA:PRJEB23079,Direct (WARNING MISSING LAB CODE): IntCal20,1364,23,546-640 calCE (1492±24 BP),..,Germany_EarlyMedieval_o1.SG,"Straubing (Bayern, Niederbayern, Straubing-Kreisfreie Stadt)",Germany,48.89,12.57,Native Pulldown on 3.2M snpset,SG,Shotgun,..,72300,37025,F,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),..,..,T1 ,..,..,..,n/a (female),n/a (female),ds.minus,"LM8_2S,mt;LBC13_10mt;LBC13_11mt;LBC13_12mt",..,PASS,..
STR535.SG,STR535,STR_535,petrous,2018,VeeramahPNAS2018,doi:10.1073/pnas.1719880115,ENA:PRJEB23079,Direct (WARNING MISSING LAB CODE): IntCal20,1483,41,409-537 calCE (1625±19 BP),..,Germany_EarlyMedieval_o1.SG,"Straubing (Bayern, Niederbayern, Straubing-Kreisfreie Stadt)",Germany,48.89,12.57,Native Pulldown on 3.2M snpset,SG,Shotgun,..,154643,79726,F,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),..,..,HV9 ,..,..,..,n/a (female),n/a (female),ds.minus,"LM8_7S,mt;LBC11_3mt;LBC11_4mt;LBC11_5;LBC17_9;LBC17_10mt",..,PASS,..
Vim2b.SG,Vim2b,"(Viminacium-Više-Grobalja, burial 2022)",petrous,2018,VeeramahPNAS2018,doi:10.1073/pnas.1719880115,ENA:PRJEB23079,Context: Archaeological,1400,14,525-575 CE,..,Serbia_Medieval_Gepidian.SG,"Viminacium-Vise-Grobalja (Braničevo District, Požarevac Municipality, Kostolac)",Serbia,44.732,21.234,Native Pulldown on 3.2M snpset,SG,Shotgun,..,448366,230317,M,0,0,R-M335,R1b2a,..,..,H7 ,..,..,..,..,"[0,0.006]",ds.minus,"LM4_7S,mt;LBC4_4;LBC4_5;LBC4_6mt;LC3_4mt;LC3_5mt;LC3_6",..,PASS,..
ALM001_merged.AG,ALM001,AY060/1,"tooth (18), petrous (left)",2021,VillalbaMoucoSciAdv2021,doi:10.1126/sciadv.abi7038,ENA:PRJEB46907,Direct: IntCal20,3821,55,"1960-1769 calBCE (3544±27 BP, MAMS-26640)",..,Spain_Almoloya_Argar_Early.AG,"La Almoloya (Murcia, Pliego)",Spain,37.952759,-1.508,Native Pulldown on 3.2M snpset,AG,1240k,2,478735,256742,F,0,0,n/a (female),n/a (female),..,2.9774,X2b+226,..,..,..,n/a (female),n/a (female),"ds.half,ds.half","ALM001.A0101,ALM001.C0101",..,PASS,..
ALM002_merged.AG,ALM002,AY060/2,"tooth (21), tooth (46)",2021,VillalbaMoucoSciAdv2021,doi:10.1126/sciadv.abi7038,ENA:PRJEB46907,Direct: IntCal20,3800,51,"1943-1769 calBCE (3532±24 BP, MAMS-25589)",..,Spain_Almoloya_Argar_Early.AG,"La Almoloya (Murcia, Pliego)",Spain,37.952759,-1.508,Native Pulldown on 3.2M snpset,AG,1240k,2,528856,282160,M,0,0,R-P312,R1b1a1b1a1a2,..,4.5763,K1b1a1c,..,..,..,..,"[0.002,0.009]","ds.half,ds.half","ALM002.A0101,BAS001.A0101",..,PASS,..
ALM003.AG,ALM003,AY053,tooth (2nd molar),2021,VillalbaMoucoSciAdv2021,doi:10.1126/sciadv.abi7038,ENA:PRJEB46907,Context: Archaeological (Argar 2nd Phase),3825,72,2000-1750 BCE,..,Spain_Almoloya_Argar_Late.AG,"La Almoloya (Murcia, Pliego)",Spain,37.952759,-1.508,Native Pulldown on 3.2M snpset,AG,1240k,1,580361,308366,F,0,0,n/a (female),n/a (female),..,3.6019,X2b+226,..,..,..,n/a (female),n/a (female),ds.half,ALM003.A0101,..,PASS,..
ALM004.AG,ALM004,AY058,tooth (27),2021,VillalbaMoucoSciAdv2021,doi:10.1126/sciadv.abi7038,ENA:PRJEB46907,Context: Archaeological (Argar 2nd Phase),3825,72,2000-1750 BCE,..,Spain_Almoloya_Argar_Early.AG,"La Almoloya (Murcia, Pliego)",Spain,37.952759,-1.508,Native Pulldown on 3.2M snpset,AG,1240k,1,301035,159894,F,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),..,1.03,n/a (<2x),n/a (<2x),..,..,n/a (female),n/a (female),ds.half,ALM004.A0101,..,PASS,..
ALM006.AG,ALM006,AY067,tooth (46),2021,VillalbaMoucoSciAdv2021,doi:10.1126/sciadv.abi7038,ENA:PRJEB46907,Direct: IntCal20,3780,40,"1919-1770 calBCE (3520±14 BP, RICH-22901/22907)",..,Spain_Almoloya_Argar_Early.AG,"La Almoloya (Murcia, Pliego)",Spain,37.952759,-1.508,Native Pulldown on 3.2M snpset,AG,1240k,1,772159,413026,M,0,0,R-P312,R1b1a1b1a1a2,..,4.8598,H,..,..,..,..,"[0,0.002]",ds.half,ALM006.A0101,..,PASS,..
ALM007.AG,ALM007,AY068/1,petrous,2021,VillalbaMoucoSciAdv2021,doi:10.1126/sciadv.abi7038,ENA:PRJEB46907,Context: Archaeological (Argar 2nd Phase),3825,72,2000-1750 BCE,..,Spain_Almoloya_Argar_Early.AG,"La Almoloya (Murcia, Pliego)",Spain,37.952759,-1.508,Native Pulldown on 3.2M snpset,AG,1240k,1,498460,265887,M,0,0,R-P312,R1b1a1b1a1a2,..,2.6125,H1,..,..,..,..,"[0.002,0.01]",ds.half,ALM007.B0101,..,PASS,..
ALM008.AG,ALM008,AY068/2,tooth (17),2021,VillalbaMoucoSciAdv2021,doi:10.1126/sciadv.abi7038,ENA:PRJEB46907,Context: Archaeological (Argar 2nd Phase),3825,72,2000-1750 BCE,..,Spain_Almoloya_Argar_Early.AG,"La Almoloya (Murcia, Pliego)",Spain,37.952759,-1.508,Native Pulldown on 3.2M snpset,AG,1240k,1,718068,382324,F,0,0,n/a (female),n/a (female),..,6.4193,V,..,..,..,n/a (female),n/a (female),ds.half,ALM008.A0101,..,PASS,..
ALM014.AG,ALM014,AY075,tooth (46 and 47),2021,VillalbaMoucoSciAdv2021,doi:10.1126/sciadv.abi7038,ENA:PRJEB46907,Context: Archaeological (Argar 2nd Phase),3825,72,2000-1750 BCE,..,Spain_Almoloya_Argar_Early.AG,"La Almoloya (Murcia, Pliego)",Spain,37.952759,-1.508,Native Pulldown on 3.2M snpset,AG,1240k,1,167107,88304,M,n/a (<300K SNPs),n/a (<300K SNPs),R-P312,R1b1a1b1a1a2,..,2.1021,U5b1+16189,..,..,..,..,"[0,0.017]",ds.half,ALM014.A0101,..,PASS,..
ALM015_merged.AG,ALM015,AY080/1,"tooth (38), petrous (right)",2021,VillalbaMoucoSciAdv2021,doi:10.1126/sciadv.abi7038,ENA:PRJEB46907,Direct: IntCal20,3773,43,"1898-1746 calBCE (3507±24 BP, MAMS-29729)",..,Spain_Almoloya_Argar_Early.AG,"La Almoloya (Murcia, Pliego)",Spain,37.952759,-1.508,Native Pulldown on 3.2M snpset,AG,1240k,2,677639,362884,F,0,0,n/a (female),n/a (female),..,2.7016,K1a4a1,..,..,..,n/a (female),n/a (female),"ds.half,ds.half","ALM015.A0101,ALM015.B0101",..,PASS,..
ALM016_merged.AG,ALM016,AY080/2,"tooth (46), petrous (left)",2021,VillalbaMoucoSciAdv2021,doi:10.1126/sciadv.abi7038,ENA:PRJEB46907,Direct: IntCal20,3803,51,"1945-1769 calBCE (3534±24 BP, MAMS-29730)",..,Spain_Almoloya_Argar_Early.AG,"La Almoloya (Murcia, Pliego)",Spain,37.952759,-1.508,Native Pulldown on 3.2M snpset,AG,1240k,2,834681,444714,M,4.093909,0,R-Z195,R1b1a1b1a1a2a,..,0.6737,n/a (<2x),n/a (<2x),..,..,..,"[0.003,0.007]","ds.half,ds.half","ALM016.A0101,ALM016.B0101",..,PASS,..
ALM017.AG,ALM017,AY080/0,petrous (right),2021,VillalbaMoucoSciAdv2021,doi:10.1126/sciadv.abi7038,ENA:PRJEB46907,Direct: IntCal20,3752,50,"1882-1698 calBCE (3474±25 BP, MAMS-29728)",..,Spain_Almoloya_Argar_Early.AG,"La Almoloya (Murcia, Pliego)",Spain,37.952759,-1.508,Native Pulldown on 3.2M snpset,AG,1240k,1,783828,416421,M,0,0,R-Z195,R1b1a1b1a1a2a,..,3.4187,T2b21,..,..,..,..,"[0.002,0.005]",ds.half,ALM017.A0101,..,PASS,..
ALM018.AG,ALM018,AY082/1,tooth (48),2021,VillalbaMoucoSciAdv2021,doi:10.1126/sciadv.abi7038,ENA:PRJEB46907,Context: Archaeological (Argar 2nd Phase),3825,72,2000-1750 BCE,..,Spain_Almoloya_Argar_Early.AG,"La Almoloya (Murcia, Pliego)",Spain,37.952759,-1.508,Native Pulldown on 3.2M snpset,AG,1240k,1,300280,157280,F,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),..,0.6052,n/a (<2x),n/a (<2x),..,..,n/a (female),n/a (female),ds.half,ALM018.A0101,..,PASS,..
ALM019_merged.AG,ALM019,AY087,"tooth (45), petrous (right) ",2021,VillalbaMoucoSciAdv2021,doi:10.1126/sciadv.abi7038,ENA:PRJEB46907,Direct: IntCal20,3946,47,"2127-1901 calBCE (3631±24 BP, MAMS-32645)",..,Spain_Almoloya_Argar_Early.AG,"La Almoloya (Murcia, Pliego)",Spain,37.952759,-1.508,Native Pulldown on 3.2M snpset,AG,1240k,2,843266,448524,F,5.2447,0,n/a (female),n/a (female),..,1.9517,n/a (<2x),n/a (<2x),..,..,n/a (female),n/a (female),"ds.half,ds.half","ALM019.A0101,ALM019.B0101",..,PASS,..
ALM020.AG,ALM020,AY090/1,tooth (36),2021,VillalbaMoucoSciAdv2021,doi:10.1126/sciadv.abi7038,ENA:PRJEB46907,Context: Archaeological (Argar 2nd Phase),3825,72,2000-1750 BCE,..,Spain_Almoloya_Argar_Early.AG,"La Almoloya (Murcia, Pliego)",Spain,37.952759,-1.508,Native Pulldown on 3.2M snpset,AG,1240k,1,632038,334623,M,4.429603,0,R-Z195,R1b1a1b1a1a2a,..,1.6373,n/a (<2x),n/a (<2x),..,..,..,"[0.001,0.005]",ds.half,ALM020.A0101,..,PASS,..
ALM021.AG,ALM021,AY090/2,tooth (47),2021,VillalbaMoucoSciAdv2021,doi:10.1126/sciadv.abi7038,ENA:PRJEB46907,Context: Archaeological (Argar 2nd Phase),3825,72,2000-1750 BCE,..,Spain_Almoloya_Argar_Early.AG,"La Almoloya (Murcia, Pliego)",Spain,37.952759,-1.508,Native Pulldown on 3.2M snpset,AG,1240k,1,707148,375135,F,0,0,n/a (female),n/a (female),..,3.2316,U5b3,..,..,..,n/a (female),n/a (female),ds.half,ALM021.A0101,..,PASS,..
ALM024.AG,ALM024,AY094/1,tooth (43),2021,VillalbaMoucoSciAdv2021,doi:10.1126/sciadv.abi7038,ENA:PRJEB46907,Context: Archaeological (Argar 2nd Phase),3825,72,2000-1750 BCE,..,Spain_Almoloya_Argar_Early.AG,"La Almoloya (Murcia, Pliego)",Spain,37.952759,-1.508,Native Pulldown on 3.2M snpset,AG,1240k,1,138645,72861,F,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),..,0.9413,n/a (<2x),n/a (<2x),..,..,n/a (female),n/a (female),ds.half,ALM024.A0101,..,PASS,..
ALM025.AG,ALM025,AY094/2,tooth (46),2021,VillalbaMoucoSciAdv2021,doi:10.1126/sciadv.abi7038,ENA:PRJEB46907,Context: Archaeological (Argar 2nd Phase),3825,72,2000-1750 BCE,..,Spain_Almoloya_Argar_Early.AG,"La Almoloya (Murcia, Pliego)",Spain,37.952759,-1.508,Native Pulldown on 3.2M snpset,AG,1240k,1,399756,210561,M,8.199695,0,R-Y30338,R1b1a1b1a1a2c1,..,1.1056,n/a (<2x),n/a (<2x),..,..,..,"[0,0.008]",ds.half,ALM025.A0101,..,PASS,..
ALM026.AG,ALM026,AY096,tooth (46),2021,VillalbaMoucoSciAdv2021,doi:10.1126/sciadv.abi7038,ENA:PRJEB46907,Context: Archaeological (Argar 2nd Phase),3825,72,2000-1750 BCE,..,Spain_Almoloya_Argar_Early.AG,"La Almoloya (Murcia, Pliego)",Spain,37.952759,-1.508,Native Pulldown on 3.2M snpset,AG,1240k,1,501788,265082,F,0,0,n/a (female),n/a (female),..,1.9885,n/a (<2x),n/a (<2x),..,..,n/a (female),n/a (female),ds.half,ALM026.A0101,..,PASS,..
ALM027.AG,ALM027,AY097/1,tooth (36 and 46),2021,VillalbaMoucoSciAdv2021,doi:10.1126/sciadv.abi7038,ENA:PRJEB46907,Context: Archaeological (Argar 2nd Phase),3825,72,2000-1750 BCE,..,Spain_Almoloya_Argar_Early.AG,"La Almoloya (Murcia, Pliego)",Spain,37.952759,-1.508,Native Pulldown on 3.2M snpset,AG,1240k,1,134354,70392,F,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),..,0.5381,n/a (<2x),n/a (<2x),..,..,n/a (female),n/a (female),ds.half,ALM027.A0101,..,PASS,..
ALM028_merged.AG,ALM028,AY097/2,"tooth (38), petrous (left)",2021,VillalbaMoucoSciAdv2021,doi:10.1126/sciadv.abi7038,ENA:PRJEB46907,Context: Archaeological (Argar 2nd Phase),3825,72,2000-1750 BCE,..,Spain_Almoloya_Argar_Early.AG,"La Almoloya (Murcia, Pliego)",Spain,37.952759,-1.508,Native Pulldown on 3.2M snpset,AG,1240k,2,623380,332798,M,0,0,R-P312,R1b1a1b1a1a2,..,1.6432,n/a (<2x),n/a (<2x),..,..,..,"[0.006,0.013]","ds.half,ds.half","ALM028.A0101,ALM028.B0101",..,PASS,"hapConX=[0.006,0.013]"
ALM029.AG,ALM029,AY104,"tooth (45), petrous (right) ",2021,VillalbaMoucoSciAdv2021,doi:10.1126/sciadv.abi7038,ENA:PRJEB46907,Context: Archaeological (Argar 2nd Phase),3825,72,2000-1750 BCE,..,Spain_Almoloya_Argar_Late.AG,"La Almoloya (Murcia, Pliego)",Spain,37.952759,-1.508,Native Pulldown on 3.2M snpset,AG,1240k,1,389404,204961,F,4.569199,0,n/a (female),n/a (female),..,1.7124,n/a (<2x),n/a (<2x),..,..,n/a (female),n/a (female),ds.half,ALM029.A0101,..,PASS,..
ALM030.AG,ALM030,AY030/1,petrous (right) ,2021,VillalbaMoucoSciAdv2021,doi:10.1126/sciadv.abi7038,ENA:PRJEB46907,Context: Archaeological (Argar 2nd Phase),3825,72,2000-1750 BCE,..,Spain_Almoloya_Argar_Late_daughter.ALM039.ALM038.AG,"La Almoloya (Murcia, Pliego)",Spain,37.952759,-1.508,Native Pulldown on 3.2M snpset,AG,1240k,1,93657,50975,F,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),..,0.5009,n/a (<2x),n/a (<2x),..,..,n/a (female),n/a (female),ds.half,ALM030.A0101,..,PASS,..
ALM031.AG,ALM031,AY030/2,petrous (right) ,2021,VillalbaMoucoSciAdv2021,doi:10.1126/sciadv.abi7038,ENA:PRJEB46907,Context: Archaeological (Argar 3rd Phase),3600,58,1750-1550 BCE,..,Spain_Almoloya_Argar_Late_daughter.ALM039.AG,"La Almoloya (Murcia, Pliego)",Spain,37.952759,-1.508,Native Pulldown on 3.2M snpset,AG,1240k,1,276145,146951,F,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),..,2.6119,J2b1a,..,..,..,n/a (female),n/a (female),ds.half,ALM031.A0101,..,PASS,..
ALM032.AG,ALM032,AY005,petrous (left),2021,VillalbaMoucoSciAdv2021,doi:10.1126/sciadv.abi7038,ENA:PRJEB46907,Context: Archaeological (Argar 3rd Phase),3600,58,1750-1550 BCE,..,Spain_Almoloya_Argar_Late.AG,"La Almoloya (Murcia, Pliego)",Spain,37.952759,-1.508,Native Pulldown on 3.2M snpset,AG,1240k,1,464224,249887,M,4.5695,0,R-Z195,R1b1a1b1a1a2a,..,2.805,T2b3+151,..,..,..,..,"[0.001,0.007]",ds.half,ALM032.A0101,..,PASS,..
ALM034.AG,ALM034,AY016,petrous (left),2021,VillalbaMoucoSciAdv2021,doi:10.1126/sciadv.abi7038,ENA:PRJEB46907,Direct: IntCal20,3822,53,"1954-1772 calBCE (3544±24 BP, MAMS-32644)",..,Spain_Almoloya_Argar_Early_father.or.son.ALM049.1d.rel.ALM048.MMI003.AG,"La Almoloya (Murcia, Pliego)",Spain,37.952759,-1.508,Native Pulldown on 3.2M snpset,AG,1240k,1,681019,366483,M,0,0,R-P312,R1b1a1b1a1a2,..,6.9727,K1a+195,..,..,..,..,"[0.002,0.006]",ds.half,ALM034.A0101,..,PASS,..
ALM035.AG,ALM035,AY024/2,petrous (right) ,2021,VillalbaMoucoSciAdv2021,doi:10.1126/sciadv.abi7038,ENA:PRJEB46907,Context: Historical,3725,130,2000-1550 BCE,..,Spain_Almoloya_Argar.AG,"La Almoloya (Murcia, Pliego)",Spain,37.952759,-1.508,Native Pulldown on 3.2M snpset,AG,1240k,1,682704,367884,F,0,0,n/a (female),n/a (female),..,6.1553,K1a+195,..,..,..,n/a (female),n/a (female),ds.half,ALM035.A0101,..,PASS,..
ALM036.AG,ALM036,AY032,petrous (left),2021,VillalbaMoucoSciAdv2021,doi:10.1126/sciadv.abi7038,ENA:PRJEB46907,Context: Archaeological (Argar 2nd Phase),3825,72,2000-1750 BCE,..,Spain_Almoloya_Argar_Late.AG,"La Almoloya (Murcia, Pliego)",Spain,37.952759,-1.508,Native Pulldown on 3.2M snpset,AG,1240k,1,637071,344034,M,0,0,R-L202,R1b1a1b1a1a2b1c,..,6.1479,U5b3,..,..,..,..,"[0.002,0.007]",ds.half,ALM036.A0101,..,PASS,..
